Msqnm,Fctn,Prvn,Pftn,Cont,Spfcadd,Msqintdc,Topmsq,Kcrsusp,Sncarlv,Longit,Latit
贞丰县清真寺,年代不详,贵州省,黔西南布依族苗族自治州,贞丰县,,贞丰县清真寺坐落于贵州省贞丰县珉谷镇，建于清同治十二年(1873年)，占地面积320平方米，大殿建筑面积120平方米，为砖木结构。,,,,125.937294,46.047161
三亚市清真南寺,年代不详,海南省,三亚市,丰栏镇,海南省三亚市丰栏镇回新乡,"初建于明代中期，清代史实未详。抗日战争时期被日寇炸平，后移至三亚湾附近重建。海南解放前夕，国民党驻军弹药库发生爆炸，再遭轻度破坏。新中国成立后由政府资助、群众捐款予以修复。""文革""中被拆除。1980年以后陆续重建礼拜大殿、经学堂、沐浴室等。现寺占地面积1.8亩，建筑总面积800平方米，其中大殿200平方米，为中阿相结合式现代化建筑。",,,,109.752500,18.400050
三亚市回辉清真古寺,年代不详,海南省,三亚市,,,"该寺距三亚市区约6公里，与三亚凤凰民用机场毗邻。始建于明成化六年(1470年)。据明万历《琼州府志》和清初《古今图书集成·职方典》卷记载，回民先祖约在宋元之间从占城(今越南平定省一带)""携家驾舟而来，散泊海岸。",,,,101.795677,36.617050
定州清真寺,年代不详,河北省,保定市,定州市,定州市中山中路与清风街交汇处,定州清真寺，又名礼拜寺，坐落在定州市中山中路与清风街交汇处，占地5255平方米。该寺始建于元代至正八年(公元1348年)，为坐西朝东四合院式建筑，由垂花门楼、南北讲堂、正殿组成，经历代重修保留至今，其后窑殿仍然保留部分元代建筑形式，是我国现存最早的砖无梁殿结构，1986年被列为保定市伊斯兰教会中心，2001年被列为河北省文物保护单位。,,,,114.990250,38.516260
涞水清真寺,明末清初,河北省,保定市,涞水县,河北省涞水县城关乡,"涞水清真寺位于河北省涞水县城关乡，始建于明末清初，全寺占地面积3.9亩，建筑面积200平方米。原有石碑1座，可惜碑毁于""文革""期间。",,,,115.715302,39.388870
雄县西槐村清真寺,年代不详,河北省,保定市,雄县,,西槐村清真寺又名宛家寺，坐落于河北省雄县杨西楼乡西槐村。始建于明朝永乐二年(1404年)。礼拜大殿为中国古典式建筑。多年来经历过损毁和重建，最近一次1986年7月。现占地4.5亩、，有大殿、水房和大门。,,,,114.529740,33.767540
徐水县勉家营清真寺,,河北省,保定市,徐水县,,,,,,103.369019,34.707512
易州清真寺,元代,河北省,保定市,易县,河北易县城关镇,河北易县是座历史文化名城，地理位置非常重要，易州清真寺就坐落在古城中心。,,,,115.496124,39.358711
涿州城内清真寺,年代不详,河北省,保定市,涿州市,河北省涿州市老城区,涿州城内清真寺，位于河北省涿州市老城区西北隅营房街南端路西。清真寺坐西向东，单进院落，四合院布局，总占地面积为2426.34平方米，现为河北省涿州市的县级文物保护单位。,,,,115.974390,39.485290
保定清真西寺,公元1616年（明朝万历丙辰年）,河北省,保定市,,,清真西寺位于保定市清真寺街15号。保定市原有清真寺11座，现开放的有10座(清真西寺、清真女寺、清真北寺、前屯清真寺、前屯清真女寺、南沟头清真寺、南沟头清真女寺、安庄清真寺、头台清真寺、杨指挥营村清真寺)。清真西寺是其中规模最大、历史最久的一座。它始建于明万历四十四年(1616年)，修有正殿3间、讲堂及水房，清未民初又以几次扩建修整始具规模。现寺内有房59间，正殿20间，南北讲堂12间，水房18间及工具房、配房等。寺内还有大小碑刻6通。整个寺院保存完好。,,,,104.037781,34.433083
保定清真北寺,年代不详,河北省,保定市,,河北省保定市市府后卫街44号,"保定清真北寺据最新考察其大殿建筑结构，被确定始建于明永乐年间(1403—1424年)。清乾隆十八年(1753年)进行较大规模扩建重修，清末民国初年再次重修。""城内清真寺共计三座:曰西寺、东寺、北寺。东西两寺均在东南城角，北寺则位置于西北城角，而工程的伟大，建筑长久的是西寺，今只述东南两寺之状况。",,,,115.499340,38.864750
保定清真东寺,,河北省,保定市,,,,,,,103.369019,34.707512
沧县李天木清真寺,1980年,河北省,沧州市,沧县,河北省沧县李天木乡,李天木清真寺位于河北省沧县李天木乡，建于1980年，大殿建筑面积80平方米，全寺建筑面积1000平方米。,,,,117.051071,38.333652
沧县曹家庄清真寺,年代不详,河北省,沧州市,沧县,河北省沧县七里淀乡,曹家庄清真寺位于河北省沧县七里淀乡，初建于1924年。占地约0.8亩，有砖瓦房12间，礼拜殿为砖木结构梁柱式建筑，约100平方米。,,,,116.933487,38.200531
沧县北阁清真寺,清道光年间,河北省,沧州市,沧县,河北省沧县李天木乡,北阁清真寺，位于河北省沧县李天木乡，初建于清道光年间(1821一1850年)。全寺建筑总面积320平方米，礼拜殿为3间砖房，计125平方米。,,,,117.051071,38.333652
沧县白芦庄清真寺,嘉庆五年（1800年）,河北省,沧州市,沧县,河北省沧县大诸村乡白芦庄,白芦庄清真寺位于河北省沧县大诸村乡白芦庄，始建于嘉庆五年(1800年)。现今占地面积近2亩，大殿建筑面积180平方米。,,,,116.660652,38.293400
孟村县大堤东清真寺,年代不详,河北省,沧州市,孟村回族自治县,,大堤东清真寺位于河北省孟村县石桥乡大堤东村，总占地面积为2.4亩。1990年10月25日，河北省孟村回族自治县大堤东清真寺落成典礼隆重举行。,,,,126.957170,45.547740
泊头市清真东寺,年代不详,河北省,沧州市,泊头市,河北省泊头市茶店街,泊头清真东寺又名清真小寺，该寺始建于明嘉靖年间，礼拜大殿为砖木结构、清嘉庆年间本坊石爱字赴西北求学，回此传播哲赫忍耶。,,,,116.578280,38.083640
泊头市八里庄清真寺,年代不详,河北省,沧州市,泊头市,河北省泊头市刘庄回族乡,八里庄清真寺始建于明洪武初，星期大殿为古典宫殿式。全寺占地面积2.4亩，大殿建筑面积124平方米，全寺建筑面积304平方米。,,,,116.578280,38.083640
青县大孝子墓清真寺,1933年,河北省,沧州市,青县,,大孝子墓清真寺位于河北省青县羊子墓回族乡，始建于1933年，大殿建筑面积为149平方米，为中式仿古中脊前厦。,,,,113.390440,34.539520
